,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
1556,HF28:HJ28,"(214, 28, 218, 28)",214,28,219,29,охлаждение,12.0,False,#ffffff,0
1140,HK28:HN28,"(219, 28, 222, 28)",219,28,223,29,охлаждение,12.0,False,#ffffff,0
672,AV31:EY31,"(48, 31, 155, 31)",48,31,156,32,Смена 1,16.0,True,#95b3d7,0
85,EZ31:IS31,"(156, 31, 253, 31)",156,31,254,32,Смена 2,16.0,True,#ffff00,0
1532,BN32:BP32,"(66, 32, 68, 32)",66,32,69,33,1,12.0,True,#ffffff,0
1469,BQ32:CG32,"(69, 32, 85, 32)",69,32,86,33,ЧЛДЖ 0.008/ФДЛ 0.125,12.0,False,#ffffff,0
198,CL32:CN32,"(90, 32, 92, 32)",90,32,93,33,2,12.0,True,#ffffff,0
924,CO32:DH32,"(93, 32, 112, 32)",93,32,113,33,ФДЛ 0.125/0.1,12.0,False,#ffffff,0
1155,DJ32:DL32,"(114, 32, 116, 32)",114,32,117,33,3,12.0,True,#ffffff,0
1296,DM32:ED32,"(117, 32, 134, 32)",117,32,135,33,ФДЛ 0.1/0.2/0.125/ЧЛДЖ 0.008,12.0,False,#ffffff,0
1638,EF32:EH32,"(136, 32, 138, 32)",136,32,139,33,4,12.0,True,#ffffff,0
410,EI32:EZ32,"(139, 32, 156, 32)",139,32,157,33,ЧЛДЖ 0.008,12.0,False,#ffffff,0
8,FB32:FD32,"(158, 32, 160, 32)",158,32,161,33,5,12.0,True,#ffffff,0
792,FE32:FR32,"(161, 32, 174, 32)",161,32,175,33,Чильеджина 0.008,12.0,False,#ffffff,0
991,FT32:FV32,"(176, 32, 178, 32)",176,32,179,33,6,12.0,True,#ffffff,0
1082,FW32:GJ32,"(179, 32, 192, 32)",179,32,193,33,Чильеджина 0.008,12.0,False,#ffffff,0
306,GL32:GN32,"(194, 32, 196, 32)",194,32,197,33,7,12.0,True,#ffffff,0
